Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Lemon Juice (1 tsp in soup),Condiment,1,0,0.388830319,0,0,0.096152304,0,0,Lunch,0,,Healthy
Cherries (1 cup),Fruit,77,1.601572466,19.1447648,0.48342115,2.560450654,14.40564374,0,0,Snack,0,,Moderate
Crepe (1 plain),Grain,90,3.459272742,14.12022739,1.993317622,0.482884376,3.14861364,96.7548053,24.55154903,Breakfast,0,,Healthy
Tiramisu (1 slice),Dessert,450,6.658721558,43.35596412,27.82628755,2.026700764,24.27534884,146.8274583,178.1743483,Snack,250,,Unhealthy
Acai Bowl (1 serving),Meal/Fruit,350,4.784292752,62.32207545,11.97193778,10.31946513,29.68681354,41.76219212,0,Breakfast,250,,Healthy
Ribollita (1.5 cups soup),Meal/Soup,350,15.03385665,56.02882014,8.081657034,14.35191805,9.737680235,861.382639,5.175321323,Dinner,500,,Healthy
Beef Jerky (1 oz),Snack/Processed,116,9.851752246,3.144147456,6.880656651,0.501770566,2.571515992,586.6150204,29.92581896,Snack,0,,Moderate
Orange Juice (1 cup),Beverage,112,1.752074655,24.90479139,0.515561186,0.7143292,20.19760597,1.987061975,0,Breakfast,240,,Moderate
Chocolate Pudding (1/2 cup),Dessert,150,2.006333276,27.01789995,3.872829984,1.900571674,21.09639396,125.8515174,2.052249199,Snack,0,,Moderate
French Fries (as side),Vegetable/Processed,200,2.008775564,23.85728808,10.44994081,1.962011148,0.20118108,131.3807488,0,Dinner,0,,Healthy
Coconut Water (1 cup),Beverage,46,1.670806087,8.93872017,0.484044994,2.541890971,6.180879167,254.7917335,0,Snack,240,,Healthy
Ham (3oz deli sliced),Protein/Meat,110,15.38936779,1.95676008,3.974771751,0,1.536431674,951.2983551,45.41306573,Lunch,0,,Moderate
Hollandaise Sauce (2 tbsp),Condiment,110,0.963534592,0.476122941,11.82768382,0,0.205907576,152.952045,49.66387834,Breakfast,0,,Healthy
English Muffin (whole wheat),Grain,134,5.798697071,27.08891425,0.960488986,4.568690986,0.98356614,200.6240852,0,Breakfast,250,,Healthy
Sriracha (1 tsp),Condiment,5,0.10089814,1.048233814,0.104920119,0.097913911,0.763068462,83.91241342,0,Dinner,0,,Healthy
Hoisin Sauce (1 tbsp),Condiment,35,0.296111524,7.679484974,0.198271883,0.101921349,5.039693058,230.3374539,0,Dinner,0,,Healthy
Lemonade (1 cup),Beverage,99,0.102624823,26.7092698,0,0.096681027,25.8106697,30.88245963,0,Snack,240,,Moderate
Chicken Liver (2 oz cooked),Protein/Meat,91,13.84153979,0.579798204,3.636341355,0,0,51.04394013,316.904887,Dinner,0,,Healthy
Simple Syrup (1/2 oz),Condiment,30,0,8.199220787,0,0,8.206433555,0,0,Snack,0,,Healthy
Quesadilla (Cheese 1 medium),Meal/Processed,400,17.88067158,36.17341183,21.35034453,3.116631009,1.988515284,717.2175348,49.51169227,Lunch,250,,Unhealthy
Ground Beef (2 oz in sauce),Protein/Meat,140,11.16145828,0,10.14702748,0,0,39.62010189,36.07249181,Dinner,0,,Healthy
Garlic (1 clove in beans),Vegetable,4,0.196284184,0.878884353,0,0.102936395,0,0.954081142,0,Dinner,0,,Healthy
Ramen (Instant 1 pack),Meal/Processed,380,9.228466508,50.59840626,14.18675728,1.94938051,2.076145868,1504.972822,0,Lunch,500,,Moderate
Coffee (with cream/sugar),Beverage,50,0.50921288,4.871858868,2.979476009,0,4.276581472,9.826870573,9.828977629,Breakfast,250,,Healthy
Coffee Liqueur (1 oz),Beverage,100,0,15.34298668,0,0,14.86062527,1.990331479,0,Snack,0,,Moderate
White Rice (1 cup cooked),Grain,204,4.020397812,44.9207208,0.399634913,0.620004236,0.101630309,1.926180971,0,Dinner,0,,Healthy
Prosciutto (1 slice),Protein/Meat,35,3.976147352,0,2.475579551,0,0,280.4869266,9.619210974,Dinner,0,,Healthy
Coconut Water (1 cup),Beverage,46,1.749859529,8.911154182,0.489433861,2.647360171,6.047846907,262.1658726,0,Snack,240,,Healthy
Orange Sauce (1/4 cup for duck),Condiment,90,0.505705949,21.78459715,0,0.492166298,19.87322711,206.1002748,0,Dinner,0,,Moderate
Watermelon (1 cup diced),Fruit,46,0.882035818,11.83145202,0.205832493,0.603231415,9.669611692,1.917345649,0,Snack,0,,Healthy
Sake (3 oz),Beverage,117,0.398113821,3.74634651,0,0,0,3.837782584,0,Dinner,0,,Healthy
Bagel (plain),Grain,270,10.65029423,54.96822321,1.55051376,2.069559953,4.880802992,444.6065657,0,Breakfast,250,,Moderate
Chicken Milanesa (1 serving),Meal/Meat,450,34.95474808,31.12592772,20.98444538,2.985674304,2.056741462,679.4764504,101.4800911,Dinner,0,,Unhealthy
Quinoa Salad (1 cup),Meal/Vegetarian,260,9.428468637,32.45967321,11.70938665,5.749242798,4.154898092,300.9734064,0,Lunch,250,,Healthy
English Muffin (whole wheat),Grain,134,5.749536468,25.32112636,0.968318141,4.581863038,1.037645305,215.1116852,0,Breakfast,250,,Healthy
Caponata (1/2 cup),Meal/Vegetable,180,2.07692991,14.62099093,13.68129932,5.077303913,9.161306869,400.9138834,0,Dinner,0,,Healthy
Veggie Burger (1 patty),Protein/Vegetarian,120,11.42351862,9.791442931,4.010690904,5.206645918,0.992406805,365.0397505,0,Lunch,250,,Healthy
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,12.31168071,10.05361544,10.2036482,1.929543249,0.953949095,538.647786,60.18004314,Lunch,0,,Moderate
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8.034013509,9.399372436,4.510373858,2.014013498,6.279642775,126.7306156,0,Breakfast,240,,Healthy
Lobster Bisque (1 cup),Meal/Seafood,250,7.686943407,11.9158989,18.75287772,0.964128349,2.86997726,864.3408479,49.67040705,Lunch,250,,Moderate
Shepherd's Pie (1 serving),Meal/Meat,400,20.74229595,33.64762149,20.87194398,5.752867707,7.072325114,864.3594098,56.6401888,Dinner,250,,Moderate
Pita Crisps (1 oz),Snack/Processed,130,2.9178545,18.44070176,4.944591222,1.965793523,0.967580092,230.7816625,0,Lunch,0,,Healthy
Tamarind Chutney (1 tbsp),Condiment,20,0.098980211,4.96413997,0,0.52193899,3.913588621,119.6790917,0,Snack,0,,Healthy
Kombucha (1 cup),Beverage,30,0,7.23310727,0,0,5.772993287,9.735354118,0,Snack,240,,Healthy
Biryani (Chicken 1.5 cups),Meal/Meat,520,27.76227544,59.14645889,17.28115019,4.875568837,6.222975859,873.1985953,75.11608296,Dinner,0,,Moderate
Beef Pho (1 large bowl),Meal/Soup,450,31.2736395,56.32224706,11.67566473,3.939971574,4.82441057,1558.154457,60.68215909,Dinner,500,,Moderate
Flan (1 slice),Dessert,220,6.16813291,35.54800737,7.086306637,0,32.88367911,76.73165115,91.41480538,Snack,0,,Moderate
Mocha Latte (16oz),Beverage,360,11.58919494,49.61494557,14.36794241,2.019954681,42.40592585,142.6501024,46.81791177,Snack,473,,Moderate
Risotto alla Milanese (1 cup),Meal/Rice,350,10.4851888,49.69099561,11.76101193,3.134603315,2.857583629,679.8353396,31.24020927,Dinner,0,,Moderate
Sausage Link (1 cooked),Protein/Meat,85,4.947908505,1.017798787,7.033267021,0,0.502359365,309.9557357,19.80850261,Breakfast,0,,Healthy
Cinnamon Sugar (1 tsp),Condiment,20,0,5.144876698,0,0,4.849124124,0,0,Snack,0,,Healthy
Fish Sauce (1 tsp),Condiment,5,0.405343663,0.518455531,0,0,0.415741828,435.1884278,0,Dinner,0,,Moderate
Collard Greens (with ham hock),Vegetable,180,9.810035623,14.86428001,8.870307378,8.140225173,3.042410468,593.4182649,29.77882469,Dinner,0,,Healthy
Coconut Shrimp (5 pcs),Meal/Seafood,320,9.525362297,23.7909368,20.86648503,2.965257195,8.390682306,617.1343474,77.68563807,Dinner,0,,Moderate
Tilapia (4oz baked),Protein/Fish,110,22.56439919,0,2.622742939,0,0,51.11940395,52.27022908,Dinner,0,,Healthy
Hot Sauce (1 tsp Tabasco),Condiment,0,0,0,0,0,0,36.08783089,0,Breakfast,0,,Healthy
Graham Cracker (1 large rectangle),Grain/Processed,60,0.956822727,11.22289085,1.447301744,0.475586252,3.886221174,70.9094461,0,Snack,0,,Healthy
Lemon Wedge (for calamari),Condiment,3,0.103631326,0.952875543,0,0.297438317,0.196903211,0,0,Dinner,0,,Healthy
Beef Steak (6oz sirloin),Protein/Meat,270,40.84050807,0,10.42784322,0,0,93.60083109,118.5884874,Dinner,250,,Healthy
Chicken Wrap (with tortilla),Meal/Processed,410,25.63854642,36.73215066,16.69632981,4.973977545,2.909639136,815.7269116,62.08962764,Lunch,250,,Moderate
Aperol Spritz (1 drink),Beverage,180,0,20.26877382,0,0,19.64127535,10.30142267,0,Snack,150,,Moderate
Chicken Thigh (1 roasted),Protein/Meat,210,23.05176601,0,13.49824864,0,0,90.44439976,116.3232854,Dinner,0,,Healthy
Kibbeh (1 piece fried),Meal/Meat,230,9.265692407,20.92883058,12.85609093,2.878026376,0.988192388,462.2439455,31.18654766,Snack,0,,Moderate
Jicama (1 cup sticks),Vegetable,46,0.887069669,10.81168792,0.101403644,5.983386617,2.197595102,5.19377369,0,Snack,0,,Healthy
Tuna Sauce (2 tbsp),Condiment,100,4.147604983,1.038141622,9.146595073,0,0.518361112,194.1685268,15.19437111,Lunch,0,,Healthy
Root Beer (1 can),Beverage,150,0,39.53030088,0,0,40.35900664,55.32716009,0,Snack,355,,Moderate
Muffin (Blueberry 1 large),Grain/Dessert,380,4.813309808,54.81282388,15.5672734,2.064839146,29.55621629,340.4224571,51.50378044,Breakfast,250,,Unhealthy
Orange Juice (1 cup),Beverage,112,1.709466668,26.95259936,0.509264343,0.694363014,21.24576621,1.987394286,0,Breakfast,240,,Moderate
Club Soda (2 oz),Beverage,0,0,0,0,0,0,19.4603769,0,Snack,0,,Healthy
Mixed Nuts (1/4 cup),Nut,200,5.739265093,8.279313668,17.19623337,3.141808854,1.906099617,0.976056311,0,Snack,0,,Moderate
Marshmallow (1 large),Dessert,23,0.09930621,5.606900937,0,0,4.122049121,5.005152153,0,Snack,0,,Healthy
Wasabi (1 tsp),Condiment,10,0.096514726,2.229610986,0.101899235,0.294879704,1.0364019,38.92985705,0,Lunch,0,,Healthy
Pesto (1/4 cup),Condiment,290,4.937987268,4.079099516,27.62714452,2.013322622,0.960873554,581.1237546,4.88067079,Dinner,0,,Moderate
Asparagus (6 spears roasted),Vegetable,40,3.99382577,3.985166051,1.951626719,2.97760674,1.935241925,144.5046175,0,Dinner,0,,Healthy
Candied Fruit (1 tbsp),Fruit,30,0,8.34295562,0,0.482914178,7.766848768,5.18052318,0,Snack,0,,Healthy
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.48105718,51.65282798,16.32273933,4.775650581,19.28313147,462.2409641,0,Lunch,250,,Unhealthy
Spaghetti Bolognese,Meal/Pasta,460,20.11057326,57.5132198,18.50878239,5.874347028,10.31460556,708.4997335,48.41063627,Dinner,250,,Moderate
Gyro (1 sandwich),Meal/Meat,600,25.56161335,53.66578745,28.99382077,4.983247932,6.236349966,1214.62573,79.67402362,Dinner,250,,Moderate
Fruit Cocktail (canned 1 cup),Fruit,110,1.022104779,28.20344802,0,1.982010289,25.52385319,9.790048944,0,Snack,0,,Moderate
Mate (1 cup),Beverage,5,0.197411703,1.008042828,0,0,0,1.957145638,0,Breakfast,240,,Healthy
Steamed Broccoli (1 cup),Vegetable,55,3.616104244,11.22053622,0.586971725,5.345810051,1.949010859,38.67206949,0,Dinner,0,,Healthy
Pita Bread (White 1 large),Grain,220,6.970837296,45.76925612,1.923192558,1.934182157,2.055075401,427.6450338,0,Dinner,0,,Moderate
Gyro (1 sandwich),Meal/Meat,600,25.42223458,53.4972332,30.85828732,4.779144308,5.755256745,1254.075111,77.06617904,Dinner,250,,Moderate
Onions (sautéed 1/4 cup),Vegetable,30,0.500577302,4.774397704,1.022870982,0.963955478,2.884521288,5.022633066,0,Lunch,0,,Healthy
Carrot Sticks (1 cup),Vegetable,52,1.253876837,11.86609233,0.285335043,3.473333434,5.830461066,87.879063,0,Snack,0,,Healthy
Shawarma (Chicken 1 wrap),Meal/Processed,550,29.43253571,51.09326977,24.33025655,5.87978339,4.945010421,1087.966962,81.03974802,Lunch,250,,Moderate
Naan Bread (1 piece),Grain,260,7.792389762,46.08111797,5.182052893,1.952360938,3.127756557,452.0496551,9.731345372,Dinner,0,,Moderate
Powdered Sugar (1 tsp),Condiment,10,0,2.39948876,0,0,2.506748411,0,0,Breakfast,0,,Healthy
Honey (1 tsp drizzle),Condiment,21,0,5.887241765,0,0,5.851354284,0,0,Breakfast,0,,Healthy
Soda (1 can Coke),Beverage,140,0,38.4693485,0,0,39.16245143,43.42392314,0,Snack,355,,Moderate
Sea Salt (coarse 1/4 tsp),Condiment,0,0,0,0,0,0,572.418989,0,Snack,0,,Moderate
Scrambled Eggs (2 large),Protein/Dairy,180,12.20416047,1.971895472,14.10910025,0,0.996476618,184.1340511,375.9769338,Breakfast,250,,Healthy
Beef Stroganoff (1.5 cups),Meal/Pasta,550,29.52794996,39.75780709,27.82666818,4.043556072,5.720082431,941.0221253,97.35239318,Dinner,0,,Moderate
Egg White (in drink),Condiment,17,3.608855939,0.200373982,0,0,0.19121904,54.32298537,0,Snack,0,,Healthy
Diet Soda (1 can),Beverage,0,0,0,0,0,0,38.87893805,0,Lunch,355,,Healthy
Olive Oil (1 tbsp dressing),Condiment,120,0,0,13.49318564,0,0,0,0,Lunch,0,,Healthy
Dates (2 medium Medjool),Fruit,133,0.824788639,35.38330407,0.100402172,3.233755946,33.02057343,0.95149913,0,Snack,0,,Moderate
Turkey Chili (1 cup),Meal/Meat,250,23.05214891,25.85415406,7.304729468,8.219070734,5.820398966,741.4098414,47.99453843,Dinner,250,,Healthy
Blueberries (1/2 cup),Fruit,42,0.522292046,11.41105682,0.194644372,1.819473509,6.764766359,1.030688423,0,Breakfast,0,,Healthy
Artichoke (1 medium steamed),Vegetable,60,4.297860983,14.01789992,0.193517903,7.011165691,1.199642954,112.0838692,0,Dinner,0,,Healthy
Yellow Rice (1 cup),Grain,230,4.103493943,49.9452611,1.000692936,1.908232766,0.959131974,311.3201729,0,Dinner,0,,Healthy
Dulce de Leche (1 tbsp filling),Condiment,65,0.992131189,12.23511628,1.505901719,0,9.522753731,30.17931016,5.230101346,Snack,0,,Healthy
Whiskey (1.5 oz shot),Beverage,105,0,0.100372469,0,0,0.10354211,0.973571516,0,Snack,0,,Healthy
Jalapeno (1 tbsp sliced),Vegetable,4,0.100003764,0.833553712,0.104210241,0.414308597,0.523024771,0.98180736,0,Dinner,0,,Healthy
Spring Roll (Veg 2 rolls),Snack/Processed,180,4.011153381,23.8807356,7.262194735,3.128503806,3.076636768,456.4331939,0,Dinner,0,,Moderate
Watermelon (1 cup diced),Fruit,46,0.913031575,11.37077305,0.193530945,0.581408692,9.174334386,1.943047483,0,Snack,0,,Healthy
Edamame (in pod 1 cup),Legume,120,11.47655709,8.675033908,5.134391735,5.241081956,2.059214174,8.8923663,0,Snack,250,,Healthy
Bagel (plain),Grain,270,10.7904021,53.97418797,1.472346301,1.932146459,5.022746368,451.1664325,0,Breakfast,250,,Moderate
Cannoli (1 medium),Dessert,240,4.922701816,24.48981574,13.33224079,0.978053731,18.57520317,95.42577934,28.86688386,Snack,0,,Moderate
Avocado (1/2 fruit),Fruit,160,2.06200758,8.465722381,15.38795961,6.633724068,0.668952884,7.221455711,0,Breakfast,0,,Healthy
Chocolate Milk (1 cup),Beverage/Dairy,200,7.844480149,25.38209518,7.711808417,0.991037782,24.32172549,152.8110584,31.14591533,Snack,0,,Moderate
Saffron (pinch in risotto),Condiment,1,0,0.097228386,0,0,0,0,0,Dinner,0,,Healthy
Corn Tortilla (1 medium),Grain,52,1.337703112,10.70183457,0.718487502,1.481086316,0.207439062,4.098042639,0,Dinner,0,,Healthy
Sugar (1 tsp, in broth),110,15.38442419,0,4.070450439,0,0,4.109615688,0,0,Dinner,0,Healthy
Blackberries (1 cup),Fruit,62,1.975865172,14.41903415,0.684893101,7.313157089,4.988412788,0.950926473,0,Snack,0,,Healthy
Gochujang (1 tbsp),Condiment,30,0.500312444,5.99588407,0,0.499689726,3.897688537,202.8814765,0,Dinner,0,,Healthy
White Bread (1 slice),Grain,70,1.94735596,12.98287243,0.960519605,0.616186657,1.162685809,137.0514285,0,Breakfast,0,,Healthy
Shepherd's Pie (1 serving),Meal/Meat,400,20.92446068,33.55970479,19.62579242,6.27594154,6.878918343,888.2995538,57.36576966,Dinner,250,,Moderate
Brown Rice (1 cup cooked),Grain,215,4.786291352,46.80844238,1.783613975,3.356233835,0.407046072,10.36967359,0,Lunch,0,,Healthy
Cherries (1 cup),Fruit,77,1.664258945,18.20457236,0.504134327,2.618641736,15.50865583,0,0,Snack,0,,Moderate
Mashed Potatoes (1 cup),Vegetable,230,3.871457641,36.15038876,7.600602553,3.122983684,1.936987657,345.045876,15.19176909,Dinner,0,,Healthy
Clam Chowder (1 cup),Meal/Seafood,200,10.21807455,18.77190119,9.28502503,1.00870515,1.938537085,858.3406617,30.10347008,Lunch,0,,Moderate
String Cheese (1 stick),Dairy,80,6.109662316,1.049202501,6.019359802,0,0,204.4942786,20.40180212,Snack,0,,Healthy
Custard (1/4 cup),Condiment,80,2.955676811,10.00963051,2.895852782,0,8.20335701,41.39906741,39.84899514,Snack,0,,Healthy
Horchata (1 cup),Beverage,140,2.092630342,25.57777572,3.032737719,1.021995055,21.32935283,30.34762857,4.881663385,Snack,240,,Moderate
Bacon (2 slices cooked),Protein/Meat,86,6.033474847,0.198045412,6.607593426,0,0.103775521,316.9930049,17.98695409,Breakfast,0,,Healthy
Spaghetti (side),Grain,100,3.477011553,20.22219107,0.487017208,1.030521165,0.518979436,0,0,Dinner,0,,Healthy
Hash Browns (1 cup),Vegetable,330,2.912440812,37.85626231,18.28433487,3.079975398,0.984138714,560.2737441,0,Breakfast,0,,Moderate
Aperol Spritz (1 drink),Beverage,180,0,20.28560536,0,0,19.94467949,9.723930657,0,Snack,150,,Moderate
Samosa (1 piece vegetable),Snack/Processed,130,2.044116229,17.15484625,6.273702688,1.939163694,1.004185969,291.1095023,0,Snack,0,,Healthy
French Fries (as side),Vegetable/Processed,200,1.943841141,23.75591622,9.936990597,2.030300475,0.201505333,134.6308745,0,Dinner,0,,Healthy
Espresso (1 oz in drink),Beverage,3,0.288809634,0,0.096480088,0,0,0.993265033,0,Snack,0,,Healthy
Biryani (Chicken 1.5 cups),Meal/Meat,520,27.87913093,58.58784992,18.78704054,5.064677201,6.051905229,902.2594524,74.86397919,Dinner,0,,Moderate
Tomato (1 medium sliced),Vegetable,22,1.052445044,4.770292382,0.195196588,1.574894966,3.284852086,5.743323592,0,Lunch,0,,Healthy
Coarse Salt (garnish),Condiment,0,0,0,0,0,0,203.1754649,0,Lunch,0,,Healthy
Coffee (with cream/sugar),Beverage,50,0.480578033,5.064821409,3.105720529,0,4.469414116,10.49693486,10.38620929,Breakfast,250,,Healthy
Bacon (2 slices cooked),Protein/Meat,86,6.209986993,0.192051134,6.702020261,0,0.10395498,331.6881351,17.15115687,Breakfast,0,,Healthy
Gummy Bears (10 pcs),Snack/Dessert,100,1.95212065,22.15996406,0,0,15.49223567,9.656531179,0,Snack,0,,Moderate
Caesar Salad (with chicken),Meal/Protein,470,29.41579035,15.48570407,30.46319469,2.910290439,3.093587522,917.6542656,75.69478811,Lunch,250,,Unhealthy
Tahini (1 tbsp),Condiment,89,2.57796507,3.301400124,7.94885949,1.372464468,0.097410504,17.75752382,0,Snack,0,,Healthy
Wasabi (1 tsp),Condiment,10,0.102823398,2.12790107,0.101796129,0.308596095,1.013282201,39.74108352,0,Lunch,0,,Healthy
Vitello Tonnato (1 serving),Meal/Meat,380,33.8037381,3.088889902,24.16482825,0.481189348,1.048076098,609.6493614,104.6730845,Lunch,0,,Unhealthy
Coconut (shredded garnish),Fruit,10,0.101147439,0.51277743,0.955311882,0.199979166,0.099297439,0,0,Snack,0,,Healthy
Pretzels (1 oz),Grain/Processed,110,3.114911229,22.36996181,1.038175471,1.004282261,1.008584637,447.9557864,0,Snack,0,,Moderate
Mashed Potatoes (1 cup),Vegetable,230,3.879445038,35.79541625,8.351367691,3.115961374,2.08093957,343.401584,15.69058547,Dinner,0,,Healthy
Pork Belly (1 oz in soup),Protein/Meat,145,3.135541634,0,14.60971647,0,0,142.5173124,19.56298794,Dinner,0,,Healthy
Muffin (Blueberry 1 large),Grain/Dessert,380,4.785912209,53.55989789,15.48339912,1.9962457,30.03105132,364.5983579,50.00679619,Breakfast,250,,Unhealthy
Chicken Wrap (with tortilla),Meal/Processed,410,24.62776545,37.12749655,16.81810878,5.047518686,3.104093082,775.7296986,60.43750932,Lunch,250,,Moderate
Matcha Latte (12 oz),Beverage,180,5.796694954,26.8914258,4.830813792,2.028054674,24.99075544,91.72848447,20.74409443,Snack,355,,Moderate
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,13.88171781,0,0,0,0,Lunch,0,,Healthy
Turkey Sandwich (on wheat),Meal/Processed,340,22.82603516,32.58875779,11.96005854,5.085774925,5.979317339,844.97104,50.66862475,Lunch,500,,Healthy
Croutons (1/4 cup),Grain,50,1.47656486,6.670368049,1.992073198,0.490015904,0.50258579,138.3224165,0,Lunch,0,,Healthy
Candied Fruit (1 tbsp),Fruit,30,0,8.206966388,0,0.490766064,8.395152483,5.136707158,0,Snack,0,,Healthy
Sea Salt (coarse 1/4 tsp),Condiment,0,0,0,0,0,0,560.9141108,0,Snack,0,,Moderate
Turkey Burger (1 patty),Protein/Meat,160,22.15426117,1.995450632,8.392142834,0,0.957437139,401.2942656,67.2694343,Lunch,250,,Moderate
Prosciutto (1 slice wrapper),Protein/Meat,35,4.148189457,0,2.534219596,0,0,291.6877288,10.32376733,Dinner,0,,Healthy
Gochugaru (1 tsp),Condiment,10,0.298129028,1.876326864,0.302623,0.487297361,0.287548327,0.962023774,0,Dinner,0,,Healthy
Empanada (Beef 1 medium),Meal/Processed,290,9.609827532,28.52573071,16.7697815,2.893247828,2.933403711,548.2091516,30.86976248,Lunch,0,,Moderate
Swiss Cheese (1 slice),Dairy,106,7.300990212,1.009725652,7.98629374,0,0.407537766,54.02668968,25.40964252,Lunch,0,,Healthy
Popcorn (3 cups air-popped),Grain,93,3.098257791,18.75815082,1.054729433,3.765241812,0.104279187,2.035141348,0,Snack,250,,Healthy
Pork Belly (1 oz in soup),Protein/Meat,145,2.973401568,0,14.93581742,0,0,142.8973734,19.64032957,Dinner,0,,Healthy
Pesto Sauce (1/4 cup),Condiment,260,4.881323714,3.821684799,25.42262895,2.067246131,1.040641037,538.8364401,4.999164162,Dinner,0,,Moderate
Balsamic Glaze (1 tsp),Condiment,13,0,2.887282842,0,0,2.591414554,3.037177686,0,Snack,0,,Healthy
White Wine (5 oz glass),Beverage,121,0.10187521,3.610779173,0,0,1.354791566,5.116117943,0,Dinner,0,,Healthy
Popcorn (3 cups air-popped),Grain,93,2.957139611,19.52903278,1.126734686,3.426862173,0.097810857,2.008079577,0,Snack,250,,Healthy
French Onion Soup (1 cup),Meal,150,6.064256589,15.47923384,6.725404564,2.082511048,4.819353057,803.0966288,19.88890664,Lunch,250,,Moderate
Cottage Cheese (1/2 cup),Dairy,90,11.84852653,4.8805877,3.111414849,0,3.874276462,413.0801717,9.515627909,Snack,0,,Moderate
